0,735,1145,1433,1935,2954,3425
0,435,731,922,1294,1809,2147
0,507,820,991,1462,2487,2992
0,478,888,964,1483,2485,2954
0,305,590,760,1172,2227,2718
0,484,755,879,1255,2115,2458
0,535,799,998,1703,2364,3698
0,491,783,986,1503,2352,2920
0,462,1261,2303,2901,3509,4039
0,400,721,907,1358,2211,2664
0,509,798,1042,1532,2597,3085
0,532,998,1214,1730,2950,3475
0,500,788,1003,1540,2539,3091
0,393,639,841,1267,2123,2740
0,593,929,1945,2393,3378,3897
0,334,670,834,1201,2153,2736
0,490,802,949,1386,2292,2786
0,354,577,897,1377,2153,2713
0,576,882,1271,1617,2457,3015
0,187,405,1279,1591,2517,3065
0,381,592,861,1319,2225,2723
0,476,885,1180,1533,2460,3047
0,541,904,1028,1534,2408,2917
0,492,894,1095,1557,2467,3002
0,580,703,769,1432,2279,2762
0,420,744,916,1457,2330,2873
0,449,679,720,1331,2190,2686
0,519,793,1023,1538,2576,3092
0,504,824,1016,1496,2472,2944
0,493,782,955,1441,2316,2789
0,496,876,1027,1564,2591,3063
0,494,798,988,1453,2519,3060
0,513,957,1162,1405,2127,2571
0,530,718,966,1661,3138,3554
0,489,855,1055,1566,2512,2935
0,520,853,1024,1485,2493,2942
0,316,624,824,992,1905,2071
0,522,862,1015,1522,2467,2982
0,326,561,894,1900,2396,2940
0,481,719,924,1347,2201,2758
0,504,817,1031,1458,2384,2967
0,491,789,982,1445,2443,3022
0,454,960,1177,1650,2421,2840
0,378,763,929,1288,2089,2643
0,488,797,965,1490,2597,3115
0,487,714,942,1310,2108,2513
0,468,692,951,1457,2415,2840
0,377,706,853,1300,2164,2683
0,672,1105,1266,1896,3008,3641
0,547,802,990,1490,2452,3017
0,399,607,781,1225,2057,2523
0,621,801,964,1403,1988,2441
